,Data,Sentiment
17, মেহজারিন এর বাল পাক নামি ভালা লাগেনা,0
18, বাজে মেহজাবিনের অভিনয়,0
19, ভাল লাগলো না,0
20," সাউয়ার নাটক,,,,,নিজের কোন মুল্যই রাখলো না নিশু,,,,,!   এত অপমানের পরেও, ভালোবাসি বলল আর পটে গেল,,,,,,???  এটা কোন নাটকের কাতারেই পড়ে না,,,,।!!!",0
21, সাইন্সের মেয়েরা আসলেই একটু অহংকারী ও দাম্বিক হয়......মজা পাইলাম রোবট লামিয়া,0
22, ওই ছাত্রীর ন্যাকামি একেবারে অসহ্য,0
23, মেহজাবিন এর ছাত্রী এটা? এই ছাগীটাকে প্রায় নাটকেই নেয় কেন এই পরিচালক?? এই আবাল ছেরি কি পরিচালকের কিছু হয়?? নাটকই দেখব না আর এই পরিচালকের। ধুর,0
24, সায়েন্স এর ছেলেমেয়ে মানেই এভাবে রসকষহীন না,0
25, মাইয়া টা খালি কান্দে,0
26, ছাত্রী টা কে যতবার দেখলাম ঘুষি মারতে ইচ্ছে হইছে।ইন্টারের মেয়ের এতো ন্যাকামি বিরক্তিকর,0
27, সাইন্স বানান টা ভূল !!!!Science,0
28, ছাত্রীর অভিনয় টা ফালতু অতিরিক্ত নেকামি করছে,0
29, ভালো লাগলো না.নাটক'টা,0
30, বস মোটা হয়ে যাচ্চ তাই আগের মত ভালো লাগতেছে না,0
31, লাস্ট এর সিনারিটা টোটালি বিরক্তিকর হইসে...এইভাবে লাভ টা হবে এক্সপেক্ট করি নাই।,0
32, শেষ দিয়ে ভালো হলো না,0
33," মেয়েরা এরকমই হয়। সে ম্যাথ বুঝাতে পারেনি, আর ছেলেটি বুঝাতে পেরেছিল,।।  এটাতে মেয়েটি এপ্রিসিয়েট না করে, উলটা হিংসা করা শুরু করে দিয়েছে।।",0
34, List  মিনিট মোটেও ভালো লাগি নি ।,0
35, এই নাটকের শব্দ কই ??সবাই এত অস্থির হয়ে এত কমেন্ট করলো কি দেখে বুঝলাম না।,0
36, ছাত্রী হিসেবে এই বান্দর ছ্যামড়ির ন্যাকামি দেইখা প্রথমেই নাটক দেখার আগ্রহ হারিয়ে ফেললাম। সরি।,0
37, ইংরেজিতে SCIENCE বানান টি তো  সঠিক না.....!!!!!,0
38," নট বেড,প্রায় নাটকে ইংলিশ গান কেন? বাংলা গানে কি ঠাডা পড়ছে।।।।",0
39, ওড়না ব্যবহার করলে কি খতি হত? খারাপ হয়ে যাচছে বাংলাদেশর নাটক।পরিচালক সাহেব আপনি কি ফ্যামিলি  নিয়ে এ নাটক দেখেন?,0
40, ২ জন মাস্টার ছাত্রীর বাড়িতে জগরা ।বিষয় টা বাজে লাগলো,0
41, ছাত্র পড়ানো কঠিন প্যারা,0
42," বাংলাদেশ কি শুধু আর্টস আর সাইন্স এর দ্বারা চলে।।।। বাট আমরা যারা কমার্স নিয়া পরি,,, তারা কি অসহায়।।।।হায়",0
43, :কেরু কে ছেড়ে দেওsorryহুইছকি কে ছেড়ে দেও অস্থির যারা বুঝেন নাই মুড়ি খান,0
44, অনেক ডায়ালগ  ভুল .মানুষের প্যাশন  এর কোনো মূল্য দেওয়া হয় নি .কে বলেছে আপনাকে ? সবার  মেডিকেল  বুয়েট এ পড়ার ইচ্ছা থাকে .Ekdom প্যাশন এর মূল্য দেওয়া হয়নি,0
45, ছাত্রীটার ঢং করে কথা বলাটা ভাল লাগেনি,0
46, টাইটেলে সাইন্স বানান টাই ভুল Science হবে,0
47, ফালতু একটা নাম নাটকের,0
48, সাইন্স এর ইংরেজি বানানটাই ভুল,0
49, আর্স বলে কখোনো তুচ্ছ ভাবা উচিত নয়।,0
50, অহংকার দেখিয়ে কাওকেই অবহেলা করা ঠিক না!,0
51, সাইন্স বানান ভুল।,0
52," মেয়েরা টেকায় না পড়লে কখনো ছেলেদের কাছে জায় না,selfish,  but drama টা,বাস্তব বাদী।",0
53, মেহেজাবিন এর এক্সটা কেয়ার করাটা একটু ভালো লাগলো না।,0
54, ছাত্রী মেয়েটার ন্যাকামিটা খুবেই বাজে হইছে,0
55, বুকের উপর ওড়নাটা দিতে কি বেশি সমস্যা??,0
56, সবনম পাদিয়ার ভাব দেখলে মিজাস টা খারাপ হয় ফালতু যতসব,0
57, পোলা খোর কখন আসবো,0
58, বালের নাটক সময়ডাই নষ্ট করলাম।,0
59, বাজে নাটক...,0
60, ফালতু একটা নাটক,0
61, বাজে নাটক,0
62, এইটা ভালো লাগেনি,0
63, সম্পুর্ন সস্তা একটা গল্প। যে রচনা করছে তার মাথা মনে হচ্ছে পচে গেছে।,0
64, ফালতু নাটক,0
65," আসলে মোশারফ করিম ব্যাক্তিগত জীবনে ছোট বেলায় অনেক ফাজিল ছিলো, না হলে এই রকম ফাউল অভিনয় কিভাবে কি করে ?",0
66," ফালতু নাটক,",0
67, অাগেরগুলোর মত ভাল হয় নাই।,0
68, সস্তা গল্প আর কতদিন ?,0
69, ফালতু নাটক,0
70," আমার দেখা বাংলাদেশের সবচেয়ে বাজে ও ফালতু নাটক।বাংলা নাটকের কাহিনী, সংলাপের বড়ই অভাব।মোশারফ করিমের থেকে এমন বাযে নাটক আশা করি নি। প্রচন্ড হতাশ।",0
71, লেবু বেশি চিপলে তেতো হয়ে যায় ।এক ধারা নাটক অফ করেন ।,0
72, চরম পর্যায়ের ফালতু,0
73, এই ধরনের আবাল মারকা নাটক মোশারফ এর দারাই সম্বব পাগল চুদা,0
74, ফালতু নাটক । দূর ৩৪ মিনিট সময় নষ্ট,0
75, হা হা হা হা মজার নাটক,0
76, ফালতু নাটক বাল টাইমডাই নষ্ট,0
77, ফালতু নাটক।।,0
78, ফালতু নাটক।।,0
79, মোশাররফ করিম ভাইয়া দিন দিন এতো বাজে নাটক করে নিম্মমানের।,0
80," খুব ই বাজে,, এমবি টুকুন ই নষ্ট",0
81," ফালতু গল্প,বিরক্তিকর",0
82, বিরক্তিকর,0
83, এসব নির্মাতাদের লজ্জা কখন হবে?? মোশারফ করিম সহ সবগুলোকে বাংলাদেশের নাটক থেকে আজীবনের জন্য Ban করা উচিত,0
84, ফালতু নাটক,0
85," এটা কোনো নাটকের কাহিনী হইছে!ফালতু,শুধু শুধু সময় নষ্ট।",0
86, ফালতু নাটক,0
87, ওতোটা ভালো হয় নি,0
88, Just Waste Of Time.আমাদের দেশের নাটকের এ কি দুর অবস্থা।,0
89, এবারের দেখা সবচেয়ে বাজে নাটক,0
90, এইটা একটা নাটক হলো  অযথা সময় নষ্ট করা  ফালতু একটা নাটক,0
91, ফালতু নাটক,0
92," বুঝলাম না পরিচালক কি বলদ হয়ে গেলো নাকি, এটা কোন কাহিনী হলো।নাটক গুলোতে আর আগের মতো মজা পায় না",0
93, মোশারফ এখন একটা ফালতু।,0
94," একজন পেশাদার জাত অভিনেতা এরকম ফালতু নাটকে অভিনয় করে নিজের অবস্থানকে নিচের দিকে নিয়ে যাচ্ছে,,এখন মোসাররফ করিম শুধু টাকার জন্য অভিনয় করে,,",0
95, এতটা ফালতু নাটক কেম্নে বানান?,0
96, মোসারোফ করিমের নাটক বেকার হয় এই নাটক‌ টি‌ ছয় মিনিট তাও আবার টেনে টেনে দেখলাম,0
97," ফালতু নাটক,, আমাদের ঢাকার কাচকি বিরানি দেখলে মন ভরে যায়",0
98, এখানে যারা কমেন্ট করছে তারা হচ্ছেন পাগলের দল একটা কইরা দেখান,0
99, আজাইরা! যতসব সস্তা কমেডি!,0
100, সেই রকম ফালতু নাটক,0
101, মোশাররফ করিম ইদানিং হিজরা টাইপ নাটক করছে। খুবই বাজে,0
102, কিছু বলার নেই,0
103, ফালতু নাটক,0
104," ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে ভাই",0
105," আমার টাকা থাকলে এই নাটকের কাহিনীকার, পরিচালক,  প্রযোজক,  কলাকুশলি নিয়া নাটক বানাইতাম একেক ঈদে নাম দিতাম সেই রকম আচোদা, সেই রকম বোকাচোদা, সেই রকম আবুলচোদা, সেই রকম ছাগলের বাচ্চা।কাহিনীর এতই অভাব এই রকম বাল কাহিনী কই পায়।",0
106, একবার ফালতু  নাটক,0
107," লজ্জা মোশাররফ করিম, লজ্জা, এত টাকার প্রয়োজন যে এত সস্তা মানের নাটক ও করা লাগে?লজ্জা, লজ্জা, লজ্জা।",0
108, আমার দেখা সবথেকে বাজে নাটক।,0
109, নাটক টা একেবারে খুব খারাপ হইছে--,0
110, অসম্ভব ফালতু নাটক।কেমনে এগুলো করে।মোশারফের নাটক দিনে দিনে ফালতু হয়ে যাচ্ছে।,0
111, বেশি বাড়াবাড়ি হয়ে গেছে,0
112, জঘন্য ফালতু নাটক !!,0
113,"মোশারফের আর আগের স্ট্যান্ডার্ড নাই, পুরাই গুয়া মারা সারা !!",0
114, ফালতু একটা নাটক,0
115, পুরান চিনে তারা/? মানে কে মাইনে? আজব মানুষ এরা ফালতু,0
116, ফালতু নাটক হইছে,0
117, ফালতু নাটক,0
118," সিরিয়াসলি !!!!!!!!!!!!!! মোশাররফ করিম এত্ত ফালতু নাটক করতে পারে !!!!! লাস্ট ২-৩ বছরে তার কোনো ভাল নাটক দেখি নি ।  "" চাঁদের নিজের কোনো আলো নেই "" - এই নাটকটা দেখার পর মোশাররফ করিমের সেই রকম ফ্যান হয়ে গিয়েছিলাম । এই রকম নাটক কেনো করে না এখন ??? যতসব সস্তা কাহিনী নিয়ে নাটক বানাচ্ছে । বাংলাদেশ এর নাটকের ভবিষ্যৎ নষ্ট করছে । এখন মোশাররফ এর নাটক অনেক অনিচ্ছা সত্তেও দেখি কোনো পরিবর্তন আসছে কিনা দেখার জন্য, নাহ - পরিবর্তন তো নেই ই, উল্টা আরো বাজে করতেছে ।",0
119, এই বছরের সবথেকে বাজে নাটক৷ এইটা,0
120," ফালতু, মোশাররফ করিম নিজেই নিজেকে সস্তা বানিয়ে ফেলেছেন।",0
121, ফালতু একটা নাটক এত বাজে নাটক আমি খুব কম দেখছি,0
122, এবারের এফিসোড একেবারে বাজে!,0
123, এটা কোন নাটক হলো ফাইজলামির একটা সীমা থাকা উচিত এইসব নাটক দ্বারা জাতি কিছুই শিখতে পারবে না শুধুই আনন্দ তাও সঠিক না আনন্দ দেওয়ার মত একটি নাটক আমার মনে হয়নি এটি নাটক  হয়নি,0
124, এর চাইতে ফাউল খারাপ বাজে নাটক আর হয় না মোশারফ করিম একটা ফালতু নাটক গুলো ও ফালতু সব পাগল ছাগলের কাহিনী,0
125, ফালতু নাটক,0
126," সালা নাটক না নাটকের জাতওনা,ফালতু",0
127, এ ধরনের নাটক একঘেয়েমি হয়ে গেছে আর ভালো লাগেনা,0
128, তেমন ভালো লাগলনা পরবর্তী তে আরো ভালো হবে আশা করি,0
129, ফালতু নাটক!,0
130," এসব খুর নাকি পাগলামি, বালের ঠেলায়  নাটকের সব কয়টা পাগল হয়ে গেছে",0
131, : আমি তো পুরাই চোদনা হয়ে গেলাম,0
132," প্রডিউসার ডিরেক্টর স্টোরি রাইটার এদেরক ধরে পেটানো উচিত, মানুষ কতটুকু অসুস্থ হলে একঘেয়েমি এমন নাটক নির্মাণ করতে পারে।",0
133," ভালো হয়নি, গল্প নাই শুধুই ভাঁড়ামি",0
134," মগারফ ওভার একটিংকরেহ্লায় ফালতু,এবং অচোদা কাহিনি।হাইস্যকরইট ইজ টোটাল পেকমানে টোটাল রাবিশ",0
135," জঘন্য ফালতু নাটক !!আমার জীবন থেকে ৩৮:০৭ মিনিট ধ্বংস !!মোশারফের আর আগের স্ট্যান্ডার্ড নাই, পুরাই গুয়া মারা সারা !!",0
136," কাহিনী ভালো হয় নাই, হুদাই পাগলামি",0
137, গলায় ঠেকছে??? পানি খা  বোরহানী খা ঝাল লাগছে??? তো ঊউউউস ঊউউউস করিস না কেন,0
138, ফালতু নাটক,0
139, বাজে অভিনয়,0
140, আমার দেখা সবথেকে বাজে নাটক,0
141," ছি,এত লেইম নাটক এই লেভেলের অভিনেতা দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু লোক ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি",0
142, চেটের বাল আব্দুল্লারে সবাই ভাই ভাই বলে পাগল হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,0
143, ফালতু নাটক।ফালতু কাহানী। ওভার এক্টিং! রেটিং ০/১০!,0
144, ফালতু!!!!,0
145, ফালতু নাটক এটা,0
146," অসম্ভব জঘন্য হইছে,,,,,এইসব খোর দিয়ে আর নাটক বানাবেন না প্লিজ plz plz.",0
147, ফালতু ক্যামেরামেন।এই নাটক দেখে মাথা ঘুরিয়েছে।এত ক্যামেরা ঘুরিয়েছে।,0
148, জোর করে হাসানোর চেষ্টা।।।,0
149, ফালতু নাটক সময় নস্ট।।সবাই আনলাইক দেন,0
150, পাগল ছাগল,0
151, ফাত্রামি ! ফালতু নাটক,0
152," বালের নাটক বানাইছে, শবনম ফারিয়া আপুর জন্য নাটকটা দেখলাম, নাটক টা আরো funny হতে পারতো",0
153," যত্তসব ফালতু নাটক। সালার গরের সালা, গালি দিতে মন চায়না, বাইনচুদ।",0
154, বাজে গল্প।,0
155, চরম বাজে ভিডিওগ্রাফী.. শুধু মাথা গুরতেছে,0
156, কমেন্ট না পড়ে ২০ মিনিট এই  নাটক দেখলাম।আমার চরম ভুলের মধ্যে একটি...,0
157, সেই রকম ভুয়া নাটক,0
158, বাজে বাজে বাজে,0
159, বাজে নাটক,0
160, ভূয়া নাটক।,0
161," নাটকের পরিচালক এবং মোশারফ ভাই কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,",0
162, যত সব ফালতু নাটক,0
163, ফালতু চোদা গল্প,0
164, ১২ মিনিট অবধি দেখেছি।জঘন্য বললে ভুল বলা হবে। আসলে কুৎসিত নাটক।ফিরিয়ে দে আমার ১২ মিনিট।এইসব বালছাল ক্যান যে বানায়।,0
165, পতিতালয় খোর কবে আসবে। পাগলা হালারা,0
166," ভালো হইনি তেমন একটা,,,",0
167, এই গরুচুদার নাটকগুলো এত্ত খারাপ লাগে,0
168," চা খোর,পান খোর,ঝাল খোর,কাচ্চি খোর..... হুরররররর এসব ফালতু নাটক  যে শালারা কেন বানায়?",0
169, ফালতু নাটক,0
170, ফালতু কাহিনি,0
171, ফালতু নাটক,0
172, ফালতু পুরা,0
173, ফালতু  নাটক,0
174," সাংস্কৃতিক অঙ্গনে কি অধঃপতন, কমেন্টারগণের চাওয়া ও পড়লাম। কেউ কেউ চায় গাঞ্জা খোর হা হ হা হ",0
175, ফালতু।বালের টপিকস।,0
176, ফালতু নাটক,0
177, একদম বাজে,0
178, ভাই ভালো কোনো গল্প নাই?বাজে গল্প।,0
179, ক্যামেরাটা এত  ঘুরাস কিল্লিগা,0
180," ফালতু নাটক,, ফালতু সংলাপ,, ফালতু ডায়লগ, ফালতু অভিনয়। চায়ের দোকানে বসে কাচ্চি কাচ্চি করতে থাকে।  স্যালাইনের বোতলে কাচ্চি ঢ়ুকায় দিবে। বিরক্তিকর নাটক। নাটকের নামটাও ফালতু।  পুরা সময়টাই নষ্ট হইলো।কাচ্চিখোর, ইয়াবাখোর, মদখোর, গানজাখোর, মাংসখোর, চাখোর, সিগারেটখোর, ঝালখোর, টকখোর, মিষ্টিখোর, সুদখোর, ঘুষখোর, এইসব নামে দিয়ে মোশাররফ করিমকে দিয়ে অভিনয় করাবে।আর সেও অভিনয় করতে রাজি হবে।",0
181, ফালতু এবং বাজে একটি নাটক....,0
182, অজথা টাইম নষ্ট করলাম একেবারে ফালতু একটা নাটক,0
183," এটা কোনো বাস্তব সম্মত নাঠক না, আমাদের দেশে এমনও গরীব মানুষ আছে,যারা দু বেলা দু মুঠো সাদা ভাত পায় না,আবার কাচ্চি বিরিয়ানি।",0
184, নাটকটা সুন্দর হয়নাই,0
185, এইসব ভৃয়া নাটক প্রচার থেকে বিরত থাকুন ।,0
186, টাকা লোভ  এ মানুষ কত নিচে নামে।যেমনি মোশাররফ নেমেছে।যত ফালতু নাটকে অভিনয় শুরু করে দিলো,0
187, বালের নাটক করে।ফালতু পরিচালক,0
188," আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, মোশাররফ করিম কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না,  এরপর মোশাররফ ভাই আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম বাবা খোর, সেই রকম গানজা খোর, সেই রকম বউ পিটানোর লোক, সেই রকম হাত মারার লোক, এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।",0
189, ফালতু নাটক। মানুষকে কাতুকুতু দিয়ে হাসানোর চেষ্টা করে লাভ নাই,0
190, সেই রকম বোকাচোদার নাটক,0
191, পরিচালক রাইটার কলাকৌশলের কোন কিছুর না নাই কারণ হচ্ছে তারা ফালতু একটা নাটক বানাইছে এটা বুজতে পারছে. ক্যামেরা কি কেউ এমনে ঘুরায়আমার তো মাথা গোরানের শুরু দিছিলো,0
192, এমন ফালতু নাটকে শবনম ফারিয়া,0
193, ফালতু একটা নাটক,0
194, ফালতু নাটক,0
195, এটাও আবার নাটক! ফালতু!,0
196, এত ফালতু নাটক দেখে মেজাজটাই খারাপ হয়ে গেল,0
197, ভাল লাগে নাই,0
198, অতিরন্জিত ভাড়ামী।,0
199," এককথায় অসাধারণ ""ফালতু"" হয়েছে যা বলার ভাষা নেই!!!!",0
200, শালা পুরাই বাজে একটা নাটক।।।,0
201, ফালতু নাটক,0
202, ফালতু নাটক.. টাইম ওয়েস্ট,0
203, কেমেরা গুরায় না মাথা গুরায়।  কী ফালতু নাটক রে দাদা,0
204, আগের গুলো থেকে পুরাই ফালতু.,0
205, বাল বানাইছে। ফালতু নাটক,0
206, হালার পোলারা মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি পাগল নাকি,0
207, সবনম ফারিয়া কে দেখলে আমার মেজেজটা খারাপ হয়ে যায়।  মেয়েটা কেমন যেনো বুড়া বুড়া। মেজাজ খারাপ।,0
208, ফালতু নাটক,0
209, ফালতু একটা নাটক।,0
210, ভাবছিলাম কিছু বলবো না কিন্তু না বলেই পারতেছি না ফাজলামোর একটা সীমা থাকা উচিত !!!! নাটক তো হওয়া উচিত ছিল সমাজের দর্পণ সাহিত্যের পূর্ণ বিনাশ তো যাই হোক এর মধ্যে কুতুকুতু জাতীয় মশকরা মার্কা হাসি ছাড়া কিছুই দেখতে পেলাম না দুঃখিত! সত্যিই আমি দর্শক হিসেবে খুবই দুঃখিত!!!,0
211, মোশারফ করিমের অভিনীত  এতো ফালতু নাটক দেখি নাই no goodvery bad,0
212, সস্তা কাহিনী,0
213, পুরাই ফালতু নাটক,0
214, লেবু বেশি চিপলে যা হয় আরকি,0
215, বিরক্তিকর মোসাররফ,0
216, Cameramen কি বোকাচুদা নাকি???  এইভাবে কি camera ঘুরায়???,0
217, ফালতু নাটক,0
218, নাটকের মধ্যে শবনম ফারিয়ার মোটা মোটা মুখটা ঘুড়ায় ঘুড়ায় কেন দেহায়??,0
219," শালা মোশারফ। এই বাল টাকা পাইলে যা দিবে তাতেই কাজ করবে। আর যারা নাটক লেখে তারাও কম মাদার চো*  না। একবার এই খোঁড় বের করছে তো করছেই। এই ঈদ এ বের কর ""সেই রকম মাগি খোঁড়""। মুখ আর মেজেজ ঠিক থাকে না এগুলা দেখলে",0
220, ফালতু একটা নাটক বানিয়েছে পরিচালক।,0
221, ফালতু নাটক,0
222, ফালতু নাটক,0
223, ফালতু নাটক। সময় টাই বরবাদ,0
224, আজাইরা নাটক কমেন্ট পড়েই দেখার ইচ্ছা মরে গেছে,0
225, ফালতু নাটক,0
226," আলগা ছিদ্দিক কেন নাটকে,?",0
227, যা-তা রকমের বাজে। একটা হইলেই হইল আরকি।,0
228, ফালতু নাটক,0
229, ফালতু একটা নাটক.... এবং ফালতু অভিনয়,0
230, বাজে নাটক,0
231, সেই রকম  ফাউল নাটক,0
232, এই ঈদে মোশাররফের একটা নাকটও ভালো হয় নাই।  মোশাররফের দিন ফুরাই যাচ্ছে মনে হয়,0
233, এইবার ঈদে দেখে সবচেয়ে বাজে নাটক,0
234, সেই লেভেলের ফালতু নাটক,0
235," কাচ্চি খাওয়ায় সাথে কান বন্ধ হওয়ার সম্পর্ক কি, ফালতুমির একটা সীমা থাকা উচিৎ।  এই নাটকে কোন বিনোদন নাই, শুধু শুধু পাবলিকের সময় নষ্ট।  ফালতু কোথাকার",0
236, পুরা নাটকটা ফালতু লাগছে,0
237, জনমের ফালতু নাটক।আবালচোদা ডিরেক্টর।,0
238, কাহিনী ছাড়া ফালতু.........,0
239, Emotional অত্যাচার !! ফালতু নাটক..,0
240, ফালতু নাটক,0
241, স ম য় টাই ফাউল গেলো🤧,0
242, ফালতু নাটক,0
243," এটা হইলো কোন কিছু হালায়,,,,আমগো পুরান ঢাকার নাম ডুবাইছে,,, ফালতু নাটক",0
244, ফালতু নাটক,0
245, এইসব বালসাল মানুষ দেখে কেমনে?,0
246," বাংলাদেশ এর নাটক গুলাও দিন দিন একঘেয়ামি হতে চলেছে,,,ফাত্রমির ও একটা লিমিট থাকা উচিৎ",0
247, খুব ই বাজে হইছে এই টা,0
248, জোর করে হাসানোর চেষ্টা কি ফালতু নাটক,0
249, একেবারে ফালতু। time lose করলাম।,0
250, ভুয়া নাটক।,0
251, একেবারে ফালতু। স্ক্রিপ্ট বা অভিনয় কোনটাতেই কোন গভীরতা নাই। থার্ড ক্লাস প্রোডাক্ট। মোশাররফের ফ্যান হিসেবে আমি বলব উনি যেন নাটক নির্বাচনে যত্নশীল হয়।,0
252, আজাইরা ফালতু নাটক।,0
253," ফালতু নাটক এর তো একটা লেভেল থাকে ,এত্ত টা বাজে নাটক কল্পনায় করা যায় না।আর মোশারফ করিম কিভাবে এই ফালতু স্টোরি তে অভিনয় করে ?",0
254, এই কারনেই বাংলাদেশের নাটকের কোনো দাম নাই।কি বাজার করতে দিলো বাজার থেকে কি সবকিছু বেটে আনবে ফালতু।কোনো নাটক হইলো এটা??দেখে মেজাজটা খারাপ হয়ে গেলো,0
255, এই কারনেই বাংলাদেশের নাটকের কোনো দাম নাই।কি বাজার করতে দিলো বাজার থেকে কি সবকিছু বেটে আনবে ফালতু।কোনো নাটক হইলো এটা??দেখে মেজাজটা খারাপ হয়ে গেলো,0
256, এইটাও নাটক!!কাহিনির এতো অভাব।,0
257, বর্তমান সময়ে মোশারফ করিমের নাটক দেখা মানেই সময় অপচয় করা।,0
258, মোশাররফ করীমের এই ধরনের সস্তা কাহিনি এভয়েড করা উচিত,0
259, ভাই কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,0
260," সেইরকম আবাল......সস্তা,একই টাইপ নাটক কইরা আপনি নাটক বিষয়টাকে ফালতু করে ফেলছেন",0
261, ফালতু নাটক,0
262, সাউয়ার নাটক আমার। ২ টা বাচানোর জন্য একবার ও কাচ্চি খাওয়াইনি।অথচ ভাবছিলাম পুরো নাটক জুরেই কাচ্চি খাওয়ার দৃশ্য থাকবে।গরীব পরিচালক,0
263," বর্তমানের নাটকের মান খুব খারাপ, যত্তসব আতলা পরিচালক, অভিনেতা",0
264, ফালতু নাটক,0
265, ফালতু একটা নাটক,0
266, বালের নাটক।পরিচালকের ভোদার ভিতরে কাচ্চি ভরার দরকার। শুধু শুধু mb নষ্ট হলো,0
267, এতো ফালতু নাটক কেমনে হয়!!!,0
268, ফালতু নাটক,0
269, সবচেয়ে বাজে হয়েছে./.।,0
270, এই সব নাটক আর ভাল লাগে না।,0
271, আসুন আমরা বেশি করে ডিসলাইক দেই।।,0
272," আমি আমার মুখ দিয়ে এই নাট্যকার কে গালাগালি করে মুখ কুলসিত করবনা,,,F....",0
273, ফালতু..!,0
274, ফালতু নাটক আর ফালতু চিত্রনাট্য আর ফালতু পরিচালনা । আর ভণ্ডামিতে ভরা ।,0
275, ফালতু নাটক,0
276, ফালতু কনসেপ্টশিক্ষনীয় কিছু নাই নাটকে,0
277, ফালতু একটা নাটক,0
278, মোশাররফ করিম আগের মত মন দিয়ে অভিনয় করেনা।আর এই নাটক টা খুব বাজে একটা নাটক হইছে।ভাড়ামো ছাড়া আর কিছুই না।,0
279, সম্পূর্ণ ফালতু নাটক.....,0
280, মোশারফ করিম অভিনয় ভুলে গেছে। DSLR দিয়ে বাচ্চাদের মত ওভার একটিং কোন নাটকের পর্যায়ে পড়ে না৷,0
281, বাজে ও ফালতু,0
282, ফালতু নাটক,0
283," খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা মোশাররফ ভাই এর জন্য উচিত হয়নি।",0
284, যত সব ফালতু নাটক?,0
285," আমার দেখা এই ঈদে সব থেকে বাজে, থার্ড ক্লাস নাটক এটা।",0
286, ফালতু নাটক। শুধু শুধু টাইম নষ্ট। মোশারফ ভাইয়ের কাছ থেকে এগুলা আশা করা যায় না।,0
287, ফালতু সবসময় একই দাসের নাটক।।।।।।।।বড় ভাই ছোট ভাই সব এলাকায় সবার আছে কিন্তু বর্তমানে নাটকে এমন ছোট আর তাদের অভিনয় এতটাই বেমানান বলা যায় যে অতিরিক্ত করে যে মনে হয় বড় ভাই না বাবা।।।,0
288, বাজে একটি নাটক দেখলাম পুরাই ফাল্তু,0
289, এদের পেটে না। মাথায় গ্যাস্টিক যত সব ফালতু নাটক,0
