Data,Sentiment
নাটক টা শেষ করেছি একপরকার বিরকত নিয়েনাটকে মেয়ে দুইটাকে কোনো ভাবেই মনে হয় নাই যে তারা ছেলে দুইটাকে ভালোবাসেপরথমে মনে হইছে ছেলে গুলারে বোকাচোদা পাইয়া ডমিনেট করার চেষটা এবং পরবরতীতে ছেলের ভালো চাকরি দেখে লোভ সামলাতে না পেরে শেষের দিকে যখন সব পলযান  উলটাপালটা হয়ে যাচছে তখন আলগা ইমোশন দেখিয়ে ভালোবাসা দেখানো বালের নাটক এটা আর বালের সকিপটমেজাজ টাই গরম হয়ে গেছে,0
এক কথায় অসাধারণ,1
এক কথায় অসাধারন,1
 আজ তাকে কেন আগের মতো ভালো লাগে না,1
অনেক সুনদর হয়েছে নাটক টা ধনযবাদ এতো সুনদর একটা নাটক উপহার দেয়ার জনয,1
ভাইয়া মিল টা জেরিনয়ের সাথে হলে ভাল হতো,1
খুব সুনদর হয়েছে,1
দুটো মানুষ একটা ঘরপরিশেষে একটা অপূরব ভালোলাগা,1
আনেক সুনদর নাটক,1
আমার দেখা এই ঈদের সবচেয়ে  সুনদর  নাটক,1
নাটকের নাম দেখলেই শরীর জবলে,0
অসাধারণ,1
এইখানে কি  তরিরানবিতরণ করমসূচি চলতাসে ভালো সিলো ,1
গলপটা সতযি অসাধারন তার উপরে আবার বস আছে,1
তথাকথিত সমাজের মুখে তালা লাগানোর অসামানয একটি পতিবাদ এই নাটকে ফুটে উঠছে,1
পাগলামির একটা সীমা থাকা দরকার,0
হালার পো হালাআমার নাম দিয়া বানাইছেএখন সবাই পচায়আর নাম আসিলো না,0
অসাধারন বাসতব ঘটনা  সব নাটক সিনেমায় দেখি নায়ক নায়িকা শেষ এ মিলন হয় সেটা অযুকতিক  কিনতু এই নাটক এর গলপের শেষ টা সতযিই দারুন,1
অসাধারন এক নাটক  এখনোও অবধি দেখা বাংলাদেশী নাটকের মধযে সবথেকে সমারটমেকিং আফরিন নিশো সতযি ই এক নযাচারাল অভিনেতা সাথে মেহজাবিন দোসর  ডিরেকটর সহ পুরো টিমকে কুরনিশ  আরোও এরকম ভালো কাজ দেখার আশায় মুখিয়ে রইলাম  ভালোবাসা নেবেন    ,1
অভিনয় করছে বোঝা যায় নিশো ভাই একদম ঠিক ,1
অনেক ভালই হয়েছে,1
অ   য় পব টা দিবেন,1
বাংলাদেশ এর এমন কিছু নাটক আছে যা দেখার পর চোখ দিয়ে পানি চলে আসে,1
অনেক ভালো লাগছে  ভাই আপনি বাংলাদেশের রতন,1
কি নাটক দেখলাম মাইরি পুরাই কাও হয়ে গেলাম,0
খুব সুনদর হয়ছে নাটক টা,1
নাটকটা অনেক সুনদর হয়েছেলাভ ইউ নিশো বস,1
শুরুতে ধনযবাদ মিজান ভাই কে  এত সুনদর একটি নাটক উপহার দেওয়ার জনয অপুরব ভাই অতুলনীয় যেটা বলব না  আর একটা মনতবয জানাই ওইসব আবালদের যারা এমন একটা নাটক কে  করছে সতযি নাটকের মধযে ভালবাসার রুপ কি তা যানতে পারলাম  অবশেষ এ ভালোবাসা বিসরজন দিল,1
সটোরিটা ভালো ছিলো,1
বাংলাদেশ এ রিমমেইক মুভির দেখার চেয়ে এসব মৌলিক নাটক দেখা খুব ভালো ,1
অসাধারনঅসাধারন,1
বলতে গেলে বাংলা নাটক অনেক সুনদর  এক কথা বললে নিশু ভাই অসাধারণ ,1
সব কিছুর মাঝে এটাই সবচেয়ে বড় বাসতবতাএর থেকে আমাদের অনেক কিছু শিখার আছে অসাধারণ সুনদর এবং শিকষানিয় একটি নাটক,1
আমাদের এই চাচার অভিনয় টা খুবই ভালো অনেক ভালো অভিনয় করে উনি,1
অবুজ দিনের গলপসতযি অসাধারন হয়েছে ফেলে আসা দিনগুলো মনে পরে গেল,1
খুব খুব সুনদর আফরান নিশু  তানজিন তিশা,1
সুনদর একটা নাটক দিয়ার জনয,1
অনেক ভাল লাগছে মনটা জুড়িয়ে গেল,1
অনতত মিথিলা এবং তার বাবার সাথে আপূরবের এয়ারপোরটে একবার দেখা হলে আরেকটু ভাল হতনাটক টা অসাধারণ হয়েছে,1
পুরুষদের ইজজত মাটাকরলায় খারাপ টেড পুয়া,0
বোঝেনা খযাত বোকা নিরবোধ,0
শামীম ভাই আপনি একটা জিনিসনাটকে আপনি থাকলে তো মাজা হবে ই,1
ভালবাসার শকতি টা অনেক বড় এর জনয মানুষ নিজেকে বদলে দিতে পারে ভালবাসা বেঁচে থাকো সবার জীবনে,1
ওহ সুনদর একটা নাটক,1
সতযি বলতে কি আমাদের বাংলাদেশে যে পরিমাণ সুনদর নাটক বানানো হয় তা এশিয়া মহাদেশে অনয কোথাও দেখা যায়না,1
মান সমমত নাটক তৈরি করুনদেশের ইমেজ নষট করবেন না,0
অনেক সুনদর নাটক খুব ভালো লাগলো,1
নিরবাকজীবনের পরতিচছবি দেখে,1
ফালতু নাটক,0
যারা বেচ  নাটক টা তৈরি করেছেন তাদের কে অনেকঅনেকঅনেক ধনযবাদ এততততততত সুনদর একটা নাটক তৈরি করার জনয,1
ভাললাগছে ভাই এর নাটকটা অসাধারণ ভালো লাগছে আসলে একটা ছেলে ভালবাসার মানুষকে সুখে রাখতে কতটা যে করতে পারে তা কখনো কেউ উপলতি করতে পারেনা পারবে না,1
ভাইয়ের সুনদর একটি নাটকঅপূরব ভাইয়ের পরততেকটা নাটক সুনদর,1
নামাযের জনয ডাক খুব ভালো লাগলো,1
খুব ই বাজে এমবি টুকুন ই নষট,0
ভাই আপনাদের জুটি অনেক সুনদর,1
অনেক টা ভালো লাগছে আই লাভ নাটক,1
অসমভব ভালো লেগেছে  বছরের শুরুতে চমৎকার একটি নাটক দেখলাম,1
নাটকের নাম  চটি দিতেন যতসব নোংরামি কথাবারতা,0
খুব বাজেএটা কোন নাটক হল,0
দারুন হয়েছে,1
খুব ভালো লাগলো,1
নাটকের শেষে ভালো মিল করতে পারেনি,0
বলার মত ভাষা নেই অনেক দিন পর একটা মন ভালো লাগার মত নাটক দেখলাম গান এর কথাগলপ সব কিছু অসাধারন সতযি কথা বলতে কেঁদে ফেলেছি  ধনযবাদ মিজানুর রহমান আরিয়ান ভাইএত সুনদর কিছু উপহার দেবার জনয,1
নাটকের গান গুলো শুনে অনেকটা ইমোশন লাগছিলোঅনেক ফেমিলির বাবা মা ভালবাসাকে মেনে নেয় নানাটক টা ভালো লাগছে তবে এই রকম হলে অারো ভালো হতোযেমন মিথীলার একটা বেবী থাকতো  তার সামি থাকতো তারা বাংলাদেশে লেন করতো মিথীলার বাবা তাদেরকে রিসিপ করার জনয যেতো  এমন সময়   সাতে সবার দেখা হতো  কিনতু  কথা হত না   মুখ ফিরিয়ে নিতো  মিথীলার বাবা    কে দেখে অবাক হতোআসা করি আইডিয়া টা ভালো লাগবে,1
এই নাটকে ডিসলাইক দেয়া পরতিবনধী দের জদি বার দেখার সজুগ হইত,0
ভাল ঠিক কতটা ভাল বলে বোঝানো যাবে  না,1
সবাইকে নিয়ে থাকার মজাই আলাদা,1
নাটকটি খুব ভালো ছিল,1
শেষে মিল দেওয়ার জনয ধনযবাদএত সুনদর একটা নাটক উপহার দেওয়ার জনয আরিয়ান ভাই কে অনেক অনেক ধনযবাদ আফরান নিশো বসের কথা না বললে তো নায়ে হয়  ইউ বস এত এত সুনদর করে অভিনয় করার জনয আমাদের কে এত এত সুনদর নাটক উপহার দেওয়ার জনয,1
এত ভাল লেগেছে বলা বাহুলযসবাইকে ধনযবাদ,1
নাটকের শুরুটা যেমন হয়েছিল শেষটা যে এতটাই সুনদর হবে আমি ভবতেই পারিনি,1
শেষ টা ভালো লাগলো না নাটকে এটা মানায় না,0
অসাধারণ  হইছে,1
অনেক সুনদর,1
বালের নাটক,0
আলহামদুলিললাহ নাটকটা দেখে অনেক ভালো,1
মিথিলা ভালো ছিল তার দেখ থেকে,1
এখন মোশাররফ করিমের নাটক দেখা মানে সময় নষট করা ছাড়া কিছুইনা পুরোটাই ছেলে ভোলানো ভাড়ামি,0
অসমভব ভালো ছিলো,1
কলেজ করাশ  কি সুনদর শিরোনাম অথচ বাসতবতা বহিরভুত নাটককলেজ লাইফের করাশ নিয়ে বাসতবিক কোনো ঘটনা তুলে ধরতে পারলে তা হৃদয় ছুয়ে যেতকাহিনী এমন ফালতু হলে সে নাটকের আর ইনটারেসট থাকে কোনো,0
অসাধারন,1
বেশি বাড়াবাড়ি হয়ে গেছে,0
ভালো লেগেছে,1
ভাল বাসা এমন হওয়াই উচিত,1
অভিনয় তেমন ভালো হয়নি,0
এই নাটকটা দেখে অনেক কিছু শিখতে পারলাম আর এই নাটকে অনেক কিছু শিখার আছে ভালোবাসাকে কি জিনিস নাটক টা দেখলে বুঝতে পারবেনআমার লাইফে আমি আফরান নিশো ভাইয়ের মতো একটার কখনো দেখিনি,1
আমি জীবনে অনেক নাটক দেখছিকিনতু  এই নাটকের মত ফালতু নাটক জীবনেও দেখি নাই,0
আরিয়ান ভাই ডিরেকতর মানে নতুন কিছু সাথে মোটো ভাইয়ার  বাড়তি আননদ দেয় জীবনতো একটাই হাহাহা,1
লাষট দিয়া কিছু বুজি নাই,0
তানজিনা তিশা আপু কে আমার খুব ভাল লাগেসাজজাদ ভাই কেওঅসাধারণ একটি নাটক,1
এততগুলা সুনদর,1
সবাই সবার বাবামা কে দেখে রাখলে হয়তো আজ পৃথিবীতাই অনযরকম থাকতো       ,1
অসাধারণ একটা জুটির অসাধারণ একটা নাটক ছিল  শেষ  মিনিট  ভীষণ কষট লাগলো বারবার দেখতে ইচছে করছে ,1
অনেক ভালো লগলো,1
এই পরেম গুলো খুব মিষটি হয় বুকের মধযে চিন চিন করে বযাথা করার উপকরম যাইহোক ভালো ছিলো আর ছিলো ভালো এনডিংটা,1
এই নাটকটা দেখার পর সতযি জীবন টা নিয়ে সবার ই ভাবার সময় হবেজীবন কষনসথায়ীবাসতবতা সথায়ীনাটক টা দেখার পর সতযি নিজেকে আর বড় হতে ইচছা করছে নাযদি সবসময় ছোট থাকতে পারতাম  অসাধারন নাটক টা,1
কি আর বলবো ভাষা খুঁজে পাচছি না অপূরবর অভিনয় সব সময়  নমবর আর পাইলট পোশাকে অপূরবকে এতোটাই সুনদর লাগছিলো মনে হচছে সতযিই সে পাইলট অসংখয ভালোবাসা আর  ধনযবাদ,1
ঈদের বেসট নাটক বেসট সটোরি বেসট পারফরমেনস,1
আমার দেকা সেরা একটা নাটক,1
ইদানিং বাংলা নাটকে শুধু গালি কেন নাটক কি গালি ছাড়া মারকেট পায় না,0
লাসট এর সিনারিটা টোটালি বিরকতিকর হইসেএইভাবে লাভ টা হবে একসপেকট করি নাই,0
খুবি ভালো লাগলো  নামাজ পরার উপদেশ দেওয়া টা  নামাজ ছাড়া কিছুই যাবেনা সাথে,1
আমার দেখা সব থেকে ভাল নাটক,1
অপূরব মানে নতুন কিছু অপূরব ভাইয়ার নাটকগুলো অসাধারণ মিস ইউ অপূরব ভাইয়া,1
বেসট সুপারহিট আ খ ম এর অভিনয় আমার কাছে অনেক ভালো লাগে কারণ সে ফানি অভিনয় করে বেশি,1
পুরাই অসথিরবস,0
বস তোমার নাটকের আশায় সব সময় থাকিনাটকটা অসাধারন চিলো অনেক ভালো লেগেচে,1
নামাজ যে মানুষ কে এতটা সুনদর করে গড়ে তুলতে পারে তা এই নাটকে অনেক টা পরমাণ করে দিল  একটি ধারমিক মেয়ে পারে একটা অগোছালো ছেলেকে সুনদর করে গুছিয়ে দিতে তানজিন তিশা আপুকে পুরো নাটকে হিজাব পড়া কী যে সুনদর লাগছিল ভাষায় পরকাশ করতে পারবোনা  বরতমান মেয়েদের এই নাটক টা দেখার অনেক অনেক অনুরোধ রইল  তিশা আপু কে  থেকে  নামবার দেওয়া হল  তিশা আপু তোমার ভবিষযতে সব গুলো নাটকেই হিজাব পড়া চাই ,1
এই ধরনের আবাল মারকা নাটক মোশারফ এর দারাই সমবব পাগল চুদা,0
এক কথায় অসাধারণ,1
খুব ভাল ওএকটা নাটক আমার খুবই ভালো লেগেছে,1
আমি বাংলা সিনেমা দেখিনা বাংলা নাটক সব সময় দেখি,1
অনেক বেশি ভালো কিনা এখনও বলতে পারতেছি না,1
যেই নাটকটা ভাললাগেঐটার পরিচালকই দেখি বাননাহ ভাইঅসাধারন,1
সুনদর নাটক অনেক ভালো লাগলো,1
নাটকটা বাসতব জীবনের পরতিচছবি  সাজজাদ ভাই ও তিশা আপু অসাধারণ অভিনয় করেছেন ,1
সারা টা নাটক  দুমিনিটের অভিনয়ে ফুটিয়ে তুলেছেন খুব ভাল লাগল,1
আমার নাটক টা বেশ ভাল লাগছে,1
ওরে মাইয়া রে ভালোই  লাগলো নাটক টা,1
এক কথাই অাসাধারণ  অপূরব  মিথিলা মেহেজাবিন সবাই অনেক ভালো অভিনয় করেছে অার অারিয়ান ভাই কে অশেষ ধনযবাদ অামাদের এধরণের সুনদর সুনদর নাটক উপহার দেয়ার জনয,1
অসাধাৱন একটা নাটকসবাৱ অভিনয় ভাল হয়েছে,1
এত বড় ঢামড়ী মেয়েদের কে সকুল ডরেসে দেখতে জাসট বিরকত লাগে,0
অসাধারণ,1
সেই ভালো হয়েছেনাটকহলটিমকেসুবোকামোনা,1
খুবই ভালো লাগসে নাটক টা অনেক দিন পরে অনয রকম একটা নাটক দেখলাম খুবই ভালো লাগসে নামাজের জনয  সবাইকে ভালো মেসেজকিনতু শেষ টা কেন জানি  হয়নিনিশো ভাইয়ের বিয়ে বা কিছু একটা দিয়ে শেষ করলে ভালো হইতো তারপরও নাটক টা অসাধারণ একটা নাটক ছিলো,1
ভালোবাসা কম নাই,1
অসাধারণ আরিয়ান ভাইনিশুমেহু,1
এক কথায় ফালতু,0
মিজানুর রহমান আরিয়ান ভাইয়া  আপনার আসলে তুলনাই হয়না অতুলনীয় ভাইয়া আপনার কাজ আপনার সমসতপরকার নাটক সতযি অসাধারণ ভাইয়া,1
এক ঘণটার এই নাটকের পুরো জীবনকে তুলে ধরা হয়েছে সতযিই অসাধারণ একটা নাটক আমাদের সবার জীবনটা হয়তো ঠিক এরকম,1
এক কথাই অসাধারন,1
এই ঈদে সব গুলো চযানেলের নাটুকই যদি নিশোর হতো তাহলে কতই না মজা হতো তাই না বনধুরা নিশো মানে অনয আমেজ অনয সাদ পরতিটি সময় বাংলা নাটুকের সাথে ছিলাম ও আছি,1
পুরো একটা জীবনের বাসতবচিতর তুলে ধরা হয়েছে এই নাটকটিতে যৌবনজীবন সব শেষ হয়ে যায় একদিনআমাদের বাবা মায়েরা যখনই আমাদের যোগয করে তুলে ঠিক তখনই আমরা তাদের ফেলে চলে যাই বযসত হয়ে যাই নিজের জীবন নিয়ে হযাঁ এটাই সতযিধনযবাদ এরকম একটি বাসতবধরমী নাটক বানানোর জনয,1
অসাধারন একটা নাটক,1
হৃদয় ছুয়ে গেলো আরফান ভাইয়ার নামাজের পরতি সুনদর পরামরশ দেওয়াটা ভালোবাসা রইলো ভাইজান,1
অসাধারণ  কিছু বলার নেই,1
আরিয়ান ভাইয়া কে ধনযবাদ এই রকম নাটক আমাদের কে উপহার  দেওয়ার জনয তার সাথে নিশো ভাই ও মেহজাবিন আপুকেওনাটক টি তে তারা খুব সুনদর  ভাবে অভিনয়  করেছেন আমার কাছে  কত ভাল ভাল লেগেছে বলার ভাষা  আমার জানা নেইতুমিও আমারিআই লাভ ইউ,1
যমজ  কাচছিখোর দেখে মনে হইতেছে মোশারফ করিমের দিন শেষ হুদাই সময় নষট করলাম,0
নাটকটাতে পোশাকে সমসযা আছে,0
ছাতরীটার ঢং করে কথা বলাটা ভাল লাগেনি,0
আধিকযেতায় ভরা একটি নাটক,0
নিশো ভাইরে নিজের ওয়েট নিজে নষট করিস নাএইরকম বাজে শবদ বযবহার করার মানে কি,0
আমি নিজেই অনেকটা এরকম পেটুক জামাই সতযি বলছি,1
খুব ভাল হইছে দেখে ভাল লাগলো,1
অমিয় ভাই তুমি আসলেই জিনিয়াস,1
অসাদারন একটা নাটক,1
মিথিলা অসহয,0
পরিয় নায়ক রিয়াজভালো লাগছে নাটকটা,1
আমার পছনদের একজন নায়িকার ছবি,1
আললাহর কসম লাগে৷৷  তোরা ভারতীয় চযানেল গুলো বাদ দিয়ে৷৷  আমার সোনার বাংলার৷৷ অসাধারণ নাটক গুলি দেখ৷৷৷ সতযিই পরিচালক কে ধনযবাদ দিয়ে ছোট করতে চাইনা৷৷  কারণ এতো সুনদর নাটকের জনয৷৷ শুধু ধনযবাদ দিলে হবে না৷৷  এর চেয়ে আরো বেশি কিছু দেওয়া দরকার৷৷ অপূরব এবং তানজিন তিশা কে৷  অনেক অনেক ভালোবাসি৷৷৷ আমরা পরবাসিরা আপনাদের এতো সুনদর নাটক গুলো দেখে সব দুঃখ কষট ভুলে যাই৷৷ আই,1
কাবিলা থেকে কালাম ভাল হইছে,1
অবশেষে অপেকষা পর দেখলামসতযি অসাধারণ,1
ফিনিসিংটা ভাল লাগলোনা,0
অনেক ভাল লাগছে,1
বাকি আছে সেই রকম গাজা খোর,0
অসাধারণ হইছে,1
অসাধারন নাটক,1
নাটক টার নাম তুমি আমার না হয়ে বাবুল সিং হলে ভালো হতো,1
শযাউয়ার নাটক এইটাকয়েকটা হারামজাদার রিভিও দেইখা হুদাই দেখলাম সসতা পরেমের গলপ একটা পুরা নাটকে এমন বযাকগরাউনড মিউজিক দিয়া কি বুঝাইলো এসব পরিচালকরা টিন এজের পোলাপানের মাথা নষট করেনাটক বানাইছে ফারুকি ভাইরাজ ভাইলাভলু ভাইরনি ভাইফাহমি ভাইরুমেল ভাইএখন এরা বানায় শযাউয়া,0
সবার  পরলামপরতযেকের ই পরতযেকের মত  আমারটা একটু অনয রকমবিশবাস করেন আমার জীবনের পরায়  কাহিনী মিল বয়েছে এই জীবন গলপটিতেপরথম বার যখন এই নাটকটি দেখি আমি অবাক হয়ে কাননা শুরু করি তখন ভাবতে থাকি আমি ত কারো সাথে  আমার জীবনের গলপটা শেয়ার করিনীতাহলে কি করে মিলে যেতে পারে আমার জীবনের গলপটি   পরায় ঘনটার মত একটানা কাননা করিনটিকটি দেখার পরআমার মাঝে এই নাটকটি  আরো বেশি উৎসাহ জোগায় আমি ও একটা মেয়ে আমি ও পারব আমি হাল ছাড়িনী এই বছর আর ছাড়ব ও নাআমি সফল হবই যাইহোকএই গলপটিতে তাদের পবিতয ভালবাসায়  হতে পারছে তাই আপনাদের কাছে আমরা দোয়া চাই যেন আমরাও আমাদের জীবনে হতে পারিসবাই ভাল থাকবেন,1
ভালোই ছিল নাটকের গলপ টা,1
বালের নাটক অফিসে অফিশিয়াল আলাপআলোচনা চলবে কিনতু সেখানে ফালতু আলোচনা বালের নাটক বালের পরিচালক,0
সাইড আরটিসট  গুলুর  এতো  বাজে  অভিনয়  সতযি  বিরকতিকর  আর ফারিয়ার  ভাষা  মিকসিং  এর  কারণে  পুরাই  হযবরল অবসথা,0
নাটকটা আসলেই খুব সুনদর হয়েছেতানজিন তিশা যে রোলে অভিনয় করেছে সেভাবে যদি বাসতবে মেনে চলতেন আমাদের দেশের সকল সেলিবরেটিসাধারণ মেয়েরা যদি এভাবে ইসলামিক বিধান মেনে চলে তাহলে দেশটা খুব সুনদর হতোসবপময় হতো,1
মোটামুটি পরমের বিয়েকথাটা ভালো লাগলো,1
আসলে আমি কখনো কমেনট করি না তো লিখতে বাধয হলাম এক কথায় অসাধারণ বরতমান পরিসথিতির সাথে অনেক মিল রয়েছে টিমের সকলকে অসংখয ধনযবাদ বিশেষ করে লেখক পরিচালক এবং দুই অভিনেতা অভিনেতরী থযাঙক ইউ,1
ঈদের শুভেচছা সবাইকেএত অলপ সময়ে এত ভালোবাসা দিয়েছেন এজনয আপনাদের কাছে আমি কৃতজঞসবাই আমার জনয দোয়া করবেন ভালোবাসা রইলো সবার জনয,1
এক ঘনটা তেরো মিনিট চৌদদ সেকেনড কোথায় যে ছিলাম ভুলেই গিয়েছিলাম  সতযিই অসাধারণ লাভ ইউ নিশো এবং বিউটি মেহজাবিন,1
কিছু অসামঞজসযতা আছেতারপরেও পরশংসনীয়  আগামী তে আরো ভালো কিছু পাবো সেই পরতযাশা রইলো ,1
অতপর আরেকটি ভালোলাগা,1
শুধু এই নাটকের জনয চযানেলটি সাবসকরাইব করলাম,1
অসথির শালি আমার খাই খাইভাবছে আমার পকেটে টাকা নাই,0
সব নাটক একি রকম মজা পাইলামনা,1
আজকে নাটক টা আবার দেখলাম এই পরযনত অনেক বার দেখা হয়েছে পরথম ভালোবাসা টা মনের ভিতরেই রয়ে যায় চাইলেও কখনো  মুছে ফেলা যায়না,1
দারুন দারুন দারুননামাজের বহিপরকাশ টা,1
একটা কথাই বলব শামীম ভাই কে দেখলেই হাসি চাপে শামীম ভাই কি বলবো কোনো কথা হবে না  বাথরুমে টাওয়ার ভালো থাকে  ওটা কিনতু কি বলবো বাংলাদেশী  দের ভাষাই জোশ ভাইয়া,1
নাটকটা দেখে  এর কথা মনে পরে গেল যারা একসফেকটর নাটকটা দেখেছেন তারাই বুঝবেন অপুরব  মিথিলার সেই কেমিসটি বার বার দেখলেও মন ভরে না যারা একসফেকটর নাটকটা যারা দেখেননি তাদের দেখার আমনতরন রইল,1
যদি নিশো এই কমেনট পড়ে থাকেন আমি বোধ করি এই ধরনের নোংরা সকরিন তযাগ করা উচিত পছনদের মানুষ বলেই বলছি বোধকরছি তা তাঁর পরিবারে অশানতি নিয়ে আসবে মেয়ে মডেলদের পোশাকে বাঙালীয়ানা ধরে রাখা উচিত,0
শুরু টাও  হয়ছেশেষ টাও    হয়ছে,1
ওসাদারন নাটক,1
অসাধারন লাগছে নাটক টা,1
এই পাগলের গুষঠিরা বলে কিমেয়েরা নিচে নামতে নামতে আর কতো নিচে নামবেপুরুষদের পযানটশারটলুঙগীনিয়ে এদের হয়নিএবার শুরু করছে এক মেয়ে নাকি আরেক মেয়ের দোসত,0
বিয়াদবীর একটা সিমা তাকা দরখার,0
অপূরব হয় সেরা বরতমান রোমানটিক গুরু,1
অনেক সুনদর একটা নাটক শাহানাজ খুশী আসলে অনেক সুনদর একটা অভিনেএী,1
বেশিরভাগ জয়েন ফযামিলির গলপ এটা নয় নাটক আবিরভূত হয়ছে ফুলিকে কেনদর করে জয়েন ফযামিলির গলপ অতি সামানযই পাওয়া গেছে আমরা যৌথ পরিবারে বেড়ে উঠেছি এবং আমাদের আশেপাশে অনেক যৌথ পরিবার দেখেছিনাটকের অঞচলেই যৌথ পরিবারে টুকটাক ঝগড়া বিবাদ মনোমালিনয যেমন লেগে থাকে তেমন সাংসারিক কাজের কষেতরে কম বেশি সবাই সবাইকে সহযোগিতা করে একজন হয়ত কাজ বেশি করে তবে সাজুগুজু বিবি হয়ে মাটিতেই পা নামায় না এমন চরিতর পাওয়া কঠিনযাহোক নাটকটি নিরমান সংশলিষঠ সকলেই অতযনত অভিজঞ দকষ তাঁরা অবশযই বাসতবের জয়েন ফযামিলির বেশিরভাগ গলপের সাথে পরিচিত,1
আমি কিছু বলতে পারছিনা অনেক কাননা করেছি তাই এমন কাজ আরো চাই,1
এতো সুনদর মিনিটে পুরো জীবন তাকে উপলবধি করলামঅনেক সুনদর লাগলো,1
এসব নাটক সতযিই ফালতুসেইম কলাস কখন ও    হতে পারে নাসেটাকষনিকের জনয ভাল হলেও ভবিষযৎ এ ভাল হবে নাফালতু যততসবভাল কিছু উপহার দেন যেগুলো শিকষনীয়,0
সেরা নাটক,1
জেরিনের বাপের   জেরিনের বাপের মত বাপদের  বেলা নাপা আর থাপড়াইতে পারলে বাসতবতায় অনেক অনেক মানে অনেক ছেলে মেয়েরা সুখে থাকতে পারবে,1
বিরকতিকর,0
সযাতি একটা আসাধারন নাটক    ,1
একটা নাটক ফালতু হইতে যা যা লাগে সব এতে আছে ফালতু কাহিনী  বাজে বযাকগরাউনড মিউজিক,0
