Data,Sentiment
"একটা ভাল খবর এবং , একটা ভাল উদাহরণ , কি ভাবে সঠিক সরকারি নীতির সাহায্যে দেশী বিনিয়োগিরা একটা শিল্পকে এগিয়ে নিতে পারেন । অবশ্য একদিন দেশীয় শিল্পটিকেবিদেশী প্রতিয়গিতা , সরকারি সাহায্য ছাড়াও , মোকাবেলা করার ক্ষমতা অর্জন করতে হবে । ",0
তাহলে তো রডের দাম আরো কমবে । ,1
এ সরকার এই প্রস্তাব কখনোই মানবে না । আমাদের সঞ্চয় বলে আর কিছুই নাই । ,0
"তিনি বলেন , ‘ যাঁরা এই ব্যাংকটি প্রতিষ্ঠিত করেছিলেন , সেই উদ্যোক্তা পরিচালকেরাই লুটপাট করে ব্যাংকটি শেষ করে দিয়েছেন । তবে বাংলাদেশে কোনো ব্যাংকের পতন হয় না । হতে দেওয়া হয় না । ফারমার্স ব্যাংক বন্ধ হওয়ার কোনো শঙ্কা নেই । ’ লুটপাট করে কে কোন দেশে টাকা পাচার করেছে সেটি তদন্ত করে বের করা জরুরি । ",0
উদ্যোক্তা পরিচালকেরা সবাই শাসক দলের সাথে সম্পর্কযুক্ত তাই তাদের লুটপাট অব্যাহত রাখার ব্যবস্থা করা হয়েছে ,0
হ পাবলিকের রক্ত পানি করা টাকা তো আছেই । সমস্যা কি ? ! ,0
"ফারমারস ব্যাংক যখন প্রতিষ্ঠা হয় , তখনি অনেকে এ লুটপাটের আশংকা করেছিলেন । আপনি মাননীয় অর্থমন্ত্রী তখন এর পক্ষে অবস্থান নিয়েছিলেন । এখন আপনারও দায় নেয়ার সময় এসেছে । ",0
"যারা লুট - পাট করেছে তাদেরকে তিনি চিনেন এবং ভালো করে চিনেন কিন্তু কেনো কোনো ব্যবস্থা নিচ্ছেন না বা নিতে পারছেন না , তা বলেননি । ফার্মাস ব্যাংক তারপরও চলবে , উনি কী এখানেও জনগণের টাকা থেকে জোগান দিয়ে চালু রাখবেন ? এর পরও বলবেন ওনাদের অর্থব্যবস্থাপনা স্বচ্ছ , ওনরা জবাবদিহিতায় আছেন ? ",0
আপনার পকেট থেকে দিচ্ছেন মনে হয় । সরকারি টাকায় চলেন মনে হচ্ছে ,0
অযথা হিংসাবশত কাতারের মত আরেক মুসলিম দেশটাকে খাল কেটে দ্বিখন্ডিত করে দিল এই মুখুটহিন যোগ্যতাহীন সেলমানই ,0
ক্ষমতা লোভী যুবরাজ মোহাম্মদ বিন সালমানের পরিণতি হবে ওসামা বিন লাদেনের মত । মাঝখান থেকে সৌদি আরব কে মুসলিম বিশ্বের কাছে ভুলভাবে উপস্থাপন করা হল । ,0
তেল তেল আর তেল অন্যাথায় বালি যা এক টাকায় আপনি এক টন ও নিবেন না কারণ কিভাবে নিয়ে যাবেন ? আরও খরছ আছে না ? ঠিক তেল ছাড়া সৌদিরা এরকম মূল্যহিন ,0
যুবরাজ সালমানের জন্য এটা সংকটময় পরিস্থিতি । ,0
যুবরাজ এখনো ছোকড়া । ছোকড়ারা ভালো কিছু করার সিদ্ধান্ত নিতে পারলেও তা করতে গিয়ে তালগোল পাকিয়ে ফেলে । সালমানের হয়েছে সেই দশা । ,0
কি নাটক যে চলিতেছে আল্লাহ মালুম । ,0
এই অনেক বাড়াবাড়ি করতেছে । তার উচিত শিক্ষা দরকার ছিল । ,0
সৌদি আমিরাত জোট মধ্যপ্রাচ্যের নব্য অস্থিরতার জন্য দায়ী । ,0
এদের খরচ কি সরকার যোগায় ? আমার তো মনে হয় এরা সরকারী খরচেই চলে । ,0
"জনগনের সরকার জনবান্ধব বাজেট দিবে এটাই স্বাভাবিক , কারন জনগন কাজ ও উন্নয়ন দেখে ভোট দিবে । ",1
ভোটটা দেবার সুযোগ দিবেন তো নাকি দুপুর একটায় বলবেন ভোট শেষ বাড়ি যান ? ,0
"বাজেট নিয়ে নানা বিশেষজ্ঞ নানা ধরনের কথাবার্তা বলে চলেছেন । আমরা যারা অর্থনীতির কেতাবী তত্ত্ব বুঝি না , সবার কথাই শুনি , শুনে বিভ্রান্তির জালে আটকে যাই । ",0
"আমাদের দেশ সামনের দিকে অগ্রসর হচ্ছে , অনেকের হয়তো এটা মেনে নিতে কষ্ট হচ্ছে রাজনৈতিক মতবিরোধ ভিন্ন কথা , তার আগে নিজের দেশ , নিজের জন্মভুমি । নিজের দেশের সুনাম সবার ভাল লাগার কথা , সেটা খেলাই হোক কিংবা অর্থনীতিতে । এখন যদি মাশরাফি বিশ্বকাপে ভাল করল কিন্তু সে আওয়ামীলীগ এমপি বলে তার প্রশংসার পরিবর্তে তার বদনাম করে গেলাম , সেটা কি সুন্দর মানষিকতার পরিচয় হবে ? সমালোচনা করতে হবে যেটা খারাপ সেটার আর যেটা ভাল সেটার প্রশংসা করতে হবে , এটা মানুষের চিন্তা - চেতনার উপর নির্ভর করে - - - - ",1
"দেশ যে এগিয়ে যাচ্ছে তা বুঝার জন্যে কোনো দেশের কোনো পত্রিকার প্রতিবেদনের প্রয়োজন নেই । সাধারণ চোখেই তা দৃশ্যমান , যদি না কেউ নৈরাশ্যবাদী হয় । দেশ এগোচ্ছে , এগোবে । আর চাই যে দেশের এই অগ্রযাত্রা শেখ হাসিনার মতো বিশ্বস্ত কারও হাত ধরেই হোক । ",1
"ক্রেডিটগুলো দিন আর ব্যাংক লুট , শেয়ারবাজার লুট , গুম খুন এগুলো ক্ষমা করে দিন । ",0
"বাংলাদেশের সাধারণ মানুষই বাংলাদেশের ভাগ্য বদলেছে । এই বদলের পালা শুরু হয় ৯০এর পর থেকেই , কিন্তু দৃশ্যমান হতে শুরু করে গত এক দশক ধরে । ",1
"শেখ হাসিনার বিকল্প বাংলাদেশে আর কেউ নেই । শক্ত হাতে দুর্নীতি , সন্ত্রাস আর মাদককে নির্মূল করতে পারলে দেশ আরো এগিয়ে যাবে । ",1
বারবার দরকার শেখ হাসিনা সরকার । ,1
"যতদিন তোমার হাতে দেশ , পথ হারাবেনা বাংলাদেশ ",1
২০০৯ সালের পর মাথাপিছু আয় তিন গুণ হয়েছে । ক্ষুধা জয় করে বাংলাদেশ এখন সাড়ে ১৬ কোটি মানুষের জন্য খাদ্য উৎপাদনে প্রায় স্বয়ংসম্পূর্ণ । বঙ্গবন্ধুর সোনার বাংলা হতে আর কিছু সময়ের দরকার মাত্র । ,1
এভাবেই এগিয়ে যাক আমার প্রিয় জন্মভুমি বাংলাদেশ শেখ হাসিনার নেতৃত্বে । ,1
"হিউম্যান রাইট ওয়াচ , নিউইয়র্ক টাইমস যখন অযথা বাংলাদেশ সরকারের সমালোচনা করে তখন তখন তো খুসিতে লাফালাফি করেন , তখন এই উক্তি মনে পড়ে না ? ",0
"শেখ হাসিনার হাতে দেশের নেতৃত্ব থাকলে , পথ হারবে না বাংলাদেশে । বাংলার জনগনও চায় শেখ হাসিনাই আগামির বাংলাদেশের নেতৃত্ব দিক । তাই এবার নির্বাচনে হবে নৌকায় ভোট । জয়তু শেখ হাসিনা । ",1
"অনেকে যখন বেইজিং থেকে এত বেশি বিনিয়োগ আসা নিয়ে প্রশ্ন তুলছেন , তখন শেখ হাসিনা বলেন , চীন এই অঞ্চলে একটি বড় ভূমিকা পালন করতে চায় । এটা এর বেশি কিছু নয় । প্রধানমন্ত্রী বলেন , ‘ আমাদের বিদেশনীতি একেবারেই পরিষ্কার , সবার সঙ্গে বন্ধুত্ব । যুক্তরাষ্ট্র ও চীন কী করছে , সেটা তাদের বিষয় । ’ ",1
এই রকম গণতন্ত্র ! যে রকম গণতন্ত্র আমরা ভোগ করছি ! ,0
"বাংলাদেশের মাথাপিছু ঋণ অথবা জিডিপি অনুপাতে ঋণের পরিমাণ উভয়ই পার্শ্ববর্তী যে কোনো দেশের থেকে কম । জিডিপির অনুপাতে বাংলাদেশের ঋণের পরিমাণ মাত্র ২৭ শতাংশ , যেখানে অনেক দেশেরই এ হার ৬০ শতাংশ থেকে ২০০ শতাংশ পর্যন্ত । ",0
বাংলাদেশ এখন একটি সফলতার গল্প আর শেখ হাসিনা সে সফলতার রূপকার ও রিদম । জয়তু শেখ হাসিনা । ,1
বাংলাদেশ কত টাকা লোণে আছে ? প্রতিটি মানুষের মাথাপিছু লোণ কত তা কি আমাদের জানার উপায় আছে ? কত টাকা পাচার হয়েছে দেশ থেকে সেটাও উল্লেখ থাকলে ভালো হত । ,0
দাদারা বিদেশী নয় ! বাংলাদেশী ? ,0
বিগত ৩০ বছরে লুটপাট কম হলে এতোদিনে মধ্যম আয়ের দেশ হয়ে যেতো । ,0
কি হিংসে হয় ? ,0
"আলোর নিচে অন্ধকার , গনতন্ত্রহীন উন্নয়ন কখনও টেকসই হয় না । ",0
শিরোনামটা দেখেই মনটা গর্বে ভরে উঠল । আবার কারো বুকে ব্যথা শুরু হয়ে গেছে নিশ্চয় । ,1
উন্নয়ন্তত অবশ্যই হয়েছে । কিন্তু লুট পাট আর নিপীড়ন হয়েছে অনেক বেশী । কারন জবাব দিহিতা নেই বলে । জবাব দিহিতা কেন নেই গনতন্ত্র নেই বলে । তাই উন্নয়ন চাইলে গণতন্ত্র মাস্ট । গনতন্ত্র না থাকলে সে উন্নয়ন সে লুটেরাদের । বিশাল জনগোষ্ঠী থাকে বঞ্চিত এবং বৈষম্যের শিকার । তাই আগে গনতন্ত্র এর পর উন্নয়ন হবে এর চে দ্রুত সমন্বিত এবং কয়েক গুন বেশী । ,0
নিক্কেই এশিয়ান রিভিউবাংলাদেশের উত্থানের পেছনে শেখ হাসিনা ,1
"উন্নত বাংলাদেশের জন্য শেখ হাসিনার কোন বিকল্প নেই , আওয়ামী লীগ যদি শেখ হাসিনার নেতৃত্বে দেশ শাসন না করতো , তাহলে এ দেশ তলাবিহীন ঝুড়িতে পরিণত হত । ",1
এ টাকা আসবে কোথা থেকে ? ,0
এই প্রজ্ঞাপন অনুযায়ী কেউ কি নতুনভাবে পেনশন পেয়েছে ? নাকি শুধু প্রজ্ঞাপন পর্যন্তই সীমাবদ্ধ সবকিছু ? ,0
সবই ভোট নেওয়ার পায়তারা ,0
এই আদেশ সরকারী কমর্চারী অবসর আইনের পরিপন্থি ! কেউ আদালতে গেলে এটা নির্ঘাত বাতিল হবে । পেনসন প্রত্যাখ্যানকারীদের পুনরায় পেনসন না দিয়ে সব পেনসনারের চিকিৎসা ভাতা বাড়ানো হোক । ,1
এটা চরম বৈষম্য মূলক একটি আদেশ । যারা পেনশনের পুরো টাকা তুলে নিয়েছেন তারা ভবিস্যতের ঝুঁকিই নিয়েছেন । এর পর তারা ক্ষতিগ্রস্ত হলে তার দায় আমরা কেন নিবো ? কারণ পেনশনের টাকাটা আমাদের করের টাকা থেকেই দেওয়া হবে । যদি মানবিক বিবেচনায় দিতেই হয় তাহলে যাচাই বাছাই করে যাদের আর্থিক অবস্থা খারাপ শুধু তাদের মাসিক সর্বোচ্চ ৩০০০ / - নূন্যতম পেনশন দেওয়া যেতে পারে । সেই সাথে যারা পেনশনের পুরো টাকা উঠাননি তাদের মাসিক ৩০০০ / - টাকা পেনশন বাড়িয়ে দেওয়া যেতে পারে । মানবিকতার ধোঁয়া তুলে এরকম অবিচার করা একেবারেই ঠিক নয় । ,0
ইন্দোনেশিয়ার মানুষজন নাকি টাকার শ্রাদ্ধ করছে । তাই দেখে আবুল মাল মুহিতও শেষের সময়ে এসে একটু শ্রাদ্ধ করতে চাচ্ছেন আরকি । ,0
সর্বকালের সবচে ' ব্যর্থ অর্থমন্ত্রী । ,0
"‘ আপনাদের চেয়ে এই কথাটা বেশি সহ্য করেছি আমি । কারণ , আমি তো অর্থ সংগ্রহে যাই । - তাহলে প্রয়াত অর্থমন্ত্রী সাইফুর রহমান কি সারা জীবন ঘোড়ার ঘাস কেটে কাটিয়েছেন ? ",0
"অন্তত আমি ও আমার চারপাশের মানুষদের মধ্যে অর্থনৈতিক উন্নতির কোন লক্ষণ দেখতে পাচ্ছিনা । কারো উন্নয়ন যদি হয়ে থাকে তাহলে তাদের অভিনন্দন । আমি ক ' বছর আগে যেমন ছিলাম এখনো সে রকম আছি । বেতনের টাকায় মাসের অর্ধেক চলে মোটামুটি হাসিমুখে বাকী অর্ধেক সেই আগের টানাটানি । চালের দাম আকাশ ছোঁয়া , পেয়াজ থেকে দামের আগুন একটু একটু করে নিভতে শুরু করেছে এরই মধ্যে চিনির দাম বেয়ে বেয়ে উপড়ে উঠছে । একটার দাম কমেতো আরেকটা দাম বাড়ে । এই দাম বাড়ানো কর্তৃপক্ষটার কাজে একটা আর্ট আছে বলতেই হবে ! ",0
"আমাদের এলাকায় এক ভিখারিনী ছিল , তাকে যত নতুন কাপড় দেয়া হোক না কেন সে ঠিকই তার শত ছিন্ন শাড়িটি পরে থাকতো , যাতে লোকে মায়ায় পড়ে নতুন শাড়ি কিনে দেয় । তার নতুন শাড়ি যোগাড়ের পুঁজিই ছিল ঐ শত ছিন্ন শাড়ির দারিদ্রের বিজ্ঞাপন । এদেশের শাসকগুলোও বহু যুগ ধরেন এরকম পরমুখাপেক্ষি দারিদ্র লালনকারি শাসন ব্যবস্থা চালু করে রেখেছিল । নিজের পায়ে দাঁড়াতে গেলে প্রথম প্রথম পায়ে একটু যন্ত্রনা হবেই , একসময় এই পা - ই হবে দৌড় প্রতিযোগিতায় জেতার শক্তি । এই চ্যালেঞ্জ সময়ের দাবী । ",1
"অর্থমন্ত্রী মহোদয় বুঝালেন রাজনীতি আর অর্থনীতি একনয় । রাজনিতিতে উৎসব থাকলেও অর্থনীতিতে উৎসবের কিছু এখনো হয়নি , এডমিট কার্ড দিয়েছে মাত্র । তবু রাজনৈতিক বিবেচনায় অর্থনৈতিক সিদ্ধান্ত বন্ধ হবেনা । কারণ আমরা যে উৎসব প্রিয় জাতি । ",0
ভালো সিদ্ধান্ত । ,1
"তার থেকে বরং ৯০ জন আমলা সচিব এদের ই সিপিআই কার্ড দিন । উনাদের আয় এর থেকে ভালো । গাড়ি বাড়ির পর এ সুবিধা থেকে উনাদের বঞ্চিত করা দেশের মর্যাদার জন্য হানিকর । প্রবাসীরা কি ভাবে ১ লক্ষ ডলার পাঠাবে ! যারা ১ লক্ষ ডলার জমা করতে পারে তারা কি দেশে পাঠাবে না কি যে দেশে থাকে সেখানেই বিনোয়োগ করে ? দেশে টাকা পাঠায় সাধারণ চাকুরীজীবি শ্রমিক , যাদের মাসিক বেতন ২০০০ - ৪০০০ । ",0
বছরে এক লক্ষ ডলার প্রবাসীরা কি চুরি করবে ? ,0
বিনিয়োগ ও ব্যবসায়ী নিয়ে ২৪ ঘন্টা দিলে হবে না । ভোক্তারা কিন্তু বিদ্যুৎ বিলের চাপে দিন দিন পিষ্ট হচ্ছে । ,0
"খুভ ভাল খবর , যেভাবে সোনা মাটি হয়ে যায় , ভরসা করতে সাহস পাইনা । ",0
পোজ না দিয়ে ত্রান দিলে কি হয় না । ,0
দর বাড়া আর কমা এ ছাড়া দেশের শীর্ষ পত্রিকার শেয়ারবাজার নিয়ে কোন খবর নাই ,0
আমি জনতা ব্যাংকের একজন কর্মকর্তা । আসল ডাকাতদের না ধরলে কাজের কাজ কিছুই হবে না । যারা মূলত দায়ী তারা ধরা ছুয়ার বাইরেই এখনো । ,0
অমিয়ম করার শাস্তি অপসারন ,0
"অাহ অপসারণ কি হবেনিউজটা যদি অামার কল্পনার মতো হতো , সারা বাংলার মানুষ খুশি হতো । বড় অনিয়মের কারণে থাকা জনতা ব্যাংকের দুই পরিচালকের সকল স্থাবর - অস্থাবর সমপ্তি বাজেয়াপ্ত করে চুরির ৯০ শতাংশ অাদায় করেছে সরকার । বাকী ১০ শতাংশের জন্য তাহাদের শরীর গুরুত্বপূর্ণ অংগ যেমন কিডনী , হার্টের ভাল্ব , চক্ষু বিক্রয় হবে । যাহাদের দরকার অাগামী অমুক তারিখে নিলামে অংশগ্রহন করুন । দূর্নীতিবাজদের না বলুন । ",1
পোশাকশ্রমিকের মজুরি সবচেয়ে কম আবার পোষাক ব্যবসায়ীদের আয় সবচেয়ে বেশি । । ,0
"বাস্তব ধারনা নিয়ে মন্তব্য করা উচিৎ , কারন দেশের বিপুল শিক্ষিত , উচ্চ শিক্ষিতরা পোষাক কারখানার বিভিন্ন প্রতিষ্টানে কাজ করে এবং এদের কাজের ও যোগ্যতার তুলনায় সুযোগ সুবিধা বেতন ভাতা শ্রমীকদের থেকে অনেক নিম্নমানের । শুধুমাত্র বেকারত্ব থেকে মুক্তি পেতেই তারা দিনের পর দিন এরুপ তিক্ত পরিশ্রমী পেশা বেছে নিয়েছে । ",0
ভিয়েতনাম বর্তমানে মালয়েশিয়র মত ধনী রাষ্ট্র ,1
এটা একেবারই ঠিক নয় । বাংলাদেশে একজন পোশাক শ্রমিকের নুন্যতম কোন যোগ্যতা নেই । লেখা পড়া জানে না । গ্রাম / প্রত্ত্যান্ত অঞ্চল থেকে উঠে আসা একজন মানুষ । মুজরি নেয়ার সময়ে তাদের অধিকাংশই সাক্ষর করতে পারে না । বেসির ভাগ পোশাক স্রমিক টিপ্সহহি এর মাদ্ধ্যামে মুজরি তুলে নেয় । তাদের কাজ সুধু মাত্র মেসিন চালানো । অটোমেটিক মেসিক গুল চালাতে কোন কস্ট করতে হয় না । এর পরেও মুজরি নিয়ে কথা বলার উদ্দশ্য হচ্ছে । বাংলাদেশর অরথনীতিকে ধংশ করার চক্রান্ত । অনুগ্রহ করে গারমেন্টেসে গিয়ে ঘুরে দেখুন । এই খাত ধংশ করার জন্য দেশি বিদেশি কিছু চক্র উঠে পড়ে লেগেছে । অনুগ্রহ করে অইসব দেশদ্রোহীদের আইনের আওতায় আনার অনুরধ রইলো । ,0
শ্রমিক ঠকানো দাম্ভিকতার নাম বাংলাদেশের পোষাক শিল্প । শুধু মজুরি কম দেয়াই নয় । কোন কারনে চাকুরি ছেড়ে গেলে সংশ্লিষ্ট শ্রমিক বার বার ধর্ণা দিয়েও কোন দিনই বকেয়া বেতন পান না । আর কে না জানে যে বেতন ধরে রাখা এ খাতের মজ্জাগত অভ্যাস ? ,0
গুড রিপোর্ট । একটা কথা না বলে পারছি না । পোশাক শ্রমিক দের বেতন নিয়ে তো অনেক কথাই হয় কয়টা কথা গার্মেন্টস মালিকরা শোনে ? তার চাইতেও বড় কথা কোন শ্রমিকই বেতন নিয়ে কথা বলার সুযোগ পান না । কেউ যদি কথা বলেও তাঁর চাকরী থাকবে না । আর বাংলাদেশে চাকরীর বাজার খুবই খারাপ অবস্থা । কেউ যদি দশ হাজার টাকা বেতন পান অন্য কেউ একই কাজ করতে ছয় হাজার টাকায় রাজী হয়ে যাবে । প্রথম আলো কে ধন্যবাদ একটি ভালো রিপোর্ট এর জন্য । ,1
বিকল্প না থাকায় পোষাক শ্রমিকরা বাধ্য হয়ে কৃতদাসের মত অতি নিম্ম মজুরীতে কাজ করছে তাই প্রতিটি জেলায় বিকল্প কর্মসংস্থান গড়ে তোলা দরকার যেমন দক্ষিন কোরীয়ায় হোম ফ্যক্টরী পদ্ধতি বিকাশ লাভ করায় বিপুল কর্মসংস্থানের সৃষ্টি হয়েছে সেখানে প্রতি ঘরে ঘরে ক্ষুদ্র ক্ষুদ্র কারখানা তৈরী করে তারা বিভন্ন পণ্য উৎপাদন করছে এব্যপারে এনজিওগুলো গুরুত্বপূর্ণ ভুমিকা পালন করতে পারে ,1
ভিয়েতনামের পরিসংখ্যানটাও প্রয়োজন ছিল । ,1
শ্রমিকদের ঘাম আর রক্ত শোষণ করে গড়ে উঠেছে যে গার্মেন্টস ইন্ডাস্ট্রি যা নিয়ে আমাদের সরকার গর্ববোধ করছেন তাদের প্রতি ন্যুনতম কিছু করার তাগিদ বোধ করেন না কেউ । ,1
সেটাও ঠিকমত দেয় না ! ,0
বাংলাদেশে প্রাইভেট সেক্টরে আরো খারাপ অবস্থা । আইটি তে স্নাতক পাস করে বেতন পান গারমেন্টের মহিলা শ্রমিকদের চেয়ে আরো কম । প্রাইভেট উদ্যোক্তারা কিভাবে কর্ম অভাবের কি ভাবে সুযোগ নিচ্ছেন । ,0
"যে দেশে হাজার হাজার বেকার , সে দেশে শ্রমিকদের মজুরি এমনই হবে । ",0
এটা সবাই জেনেই চাকুরী নেয় । মজুরী কম বলে দাম কম নেয়া যাওয়ার কারনে উৎপাদন বেশী করা যায় এতে অডার বেশী হয় । দেশের গামেনটস কারখানাও বেড়েছিল । কিন্তু এখন বিভিন্ন চাপে শত শত কারখানা বন্ধ হয়ে গেছে । তাই দয়া করে উসকানী না দিয়ে সাহায্য করুন । ,1
